X,Y
14.44,1
14.44,1
14.44,1
14.44,1
14.44,1
14.44,1
18.94,1
18.94,1
18.94,1
18.94,1
18.94,1
18.94,1
18.94,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
20.44,1
21.44,1
21.44,1
21.44,1
21.44,1
21.44,1
21.44,1
21.44,1
21.44,1
22.03,1
22.34,1
22.34,1
22.34,1
23.05,1
23.05,1
23.05,1
24.44,1
24.55,1
24.55,1
24.55,1
25.02,2
25.02,2
25.02,2
25.02,2
25.02,2
25.02,2
25.02,2
25.02,2
25.02,2
25.02,2
25.02,2
25.02,2
25.02,2
25.02,2
25.02,2
25.02,2
25.02,2
25.02,2
25.02,2
25.02,2
25.02,2
25.02,2
25.02,2
25.02,2
25.02,2
25.02,2
25.02,2
25.02,2
25.02,2
25.02,2
25.02,2
25.02,2
25.02,2
25.02,2
25.02,2
25.02,2
25.02,2
25.02,2
25.02,2
25.02,2
25.02,2
25.12,2
25.12,2
25.12,2
25.12,2
25.12,2
25.12,2
25.12,2
25.12,2
25.12,2
25.12,2
25.12,2
25.12,2
25.12,2
25.12,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.2,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
25.28,2
